Sweep Direction,Distance,Time,Location
1,15,116.895752,Extreme left
1,15,116.895752,Extreme left
1,15,116.8959961,Extreme left
1,15,116.8959961,Extreme left
1,15,116.8962402,Extreme left
1,15,116.8962402,Extreme left
1,15,116.8964844,Extreme left
1,15,116.8969727,Extreme left
1,15,116.8977051,Extreme left
1,15,116.8979492,Extreme left
1,15,116.8984375,Extreme left
1,15,116.8984375,Extreme left
1,15,116.8986816,Extreme left
1,15,116.8989258,Extreme left
1,15,116.8989258,Extreme left
1,15,116.8991699,Extreme left
1,15,116.8996582,Extreme left
1,15,116.8999023,Extreme left
1,15,116.9001465,Extreme left
1,15,116.9001465,Extreme left
1,15,116.9003906,Extreme left
1,15,116.9008789,Extreme left
1,15,116.9008789,Extreme left
1,15,116.901123,Extreme left
1,15,116.9016113,Extreme left
1,15,116.9020996,Extreme left
1,15,116.9023438,Extreme left
1,15,116.9025879,Extreme left
1,15,116.902832,Extreme left
1,15,116.9030762,Extreme left
1,15,116.9035645,Extreme left
1,15,116.9040527,Extreme left
1,15,116.9042969,Extreme left
1,15,116.904541,Extreme left
1,15,116.904541,Extreme left
1,15,116.9047852,Extreme left
1,15,116.9047852,Extreme left
1,15,116.9047852,Extreme left
1,15,116.9052734,Extreme left
1,15,116.9055176,Extreme left
1,15,116.9057617,Extreme left
1,15,116.90625,Extreme left
1,15,116.90625,Extreme left
1,15,116.9064941,Extreme left
1,15,116.9064941,Extreme left
1,15,116.9064941,Extreme left
1,15,116.9072266,Extreme left
1,15,116.9074707,Extreme left
1,15,116.9077148,Extreme left
1,15,116.907959,Extreme left
1,15,116.9082031,Extreme left
1,15,116.9084473,Extreme left
1,15,116.9084473,Extreme left
1,15,116.9086914,Extreme left
1,15,116.9086914,Extreme left
1,15,116.9086914,Extreme left
1,15,116.9089355,Extreme left
1,15,116.9091797,Extreme left
1,15,116.9094238,Extreme left
1,15,116.9094238,Extreme left
1,15,116.9094238,Extreme left
1,15,116.9104004,Extreme left
1,15,116.9106445,Extreme left
1,15,116.9108887,Extreme left
1,15,116.9108887,Extreme left
1,15,116.9111328,Extreme left
1,15,116.9111328,Extreme left
1,15,116.9111328,Extreme left
1,15,116.9111328,Extreme left
1,15,116.9111328,Extreme left
1,15,116.9111328,Extreme left
1,15,116.911377,Extreme left
1,15,116.911377,Extreme left
1,15,116.9118652,Extreme left
1,15,116.9123535,Extreme left
1,15,116.9123535,Extreme left
1,15,116.9123535,Extreme left
1,15,116.9123535,Extreme left
1,15,116.9123535,Extreme left
1,15,116.9123535,Extreme left
1,15,116.9125977,Extreme left
1,15,116.9125977,Extreme left
1,15,116.9128418,Extreme left
1,15,116.9133301,Extreme left
1,15,116.9138184,Extreme left
1,15,116.9143066,Extreme left
1,15,116.9143066,Extreme left
1,15,116.9143066,Extreme left
1,15,116.9145508,Extreme left
1,15,116.9145508,Extreme left
1,15,116.9147949,Extreme left
1,15,116.9150391,Extreme left
1,15,116.9150391,Extreme left
1,15,116.9150391,Extreme left
1,15,116.9152832,Extreme left
1,15,116.9155273,Extreme left
1,15,116.9155273,Extreme left
1,15,116.9155273,Extreme left
1,15,116.9160156,Extreme left
1,15,116.9160156,Extreme left
1,15,116.9160156,Extreme left
1,15,116.9162598,Extreme left
1,15,116.9162598,Extreme left
1,15,116.9165039,Extreme left
1,15,116.9165039,Extreme left
1,15,116.9169922,Extreme left
1,15,116.9169922,Extreme left
1,15,116.9172363,Extreme left
1,15,116.9172363,Extreme left
1,15,116.9172363,Extreme left
1,15,116.9174805,Extreme left
1,15,116.9174805,Extreme left
1,15,116.9177246,Extreme left
1,15,116.9177246,Extreme left
1,15,116.9179688,Extreme left
1,15,116.9182129,Extreme left
1,15,116.9182129,Extreme left
1,15,116.9182129,Extreme left
1,15,116.9182129,Extreme left
1,15,116.9182129,Extreme left
1,15,116.9182129,Extreme left
1,15,116.9187012,Extreme left
1,15,116.9194336,Extreme left
1,15,116.9194336,Extreme left
1,15,116.9196777,Extreme left
1,15,116.9196777,Extreme left
1,15,116.9199219,Extreme left
1,15,116.9199219,Extreme left
1,15,116.9199219,Extreme left
1,15,116.920166,Extreme left
1,15,116.9204102,Extreme left
1,15,116.9206543,Extreme left
1,15,116.9206543,Extreme left
1,15,116.9206543,Extreme left
1,15,116.9208984,Extreme left
1,15,116.9211426,Extreme left
1,15,116.9211426,Extreme left
1,15,116.9213867,Extreme left
1,15,116.9213867,Extreme left
1,15,116.9216309,Extreme left
1,15,116.9216309,Extreme left
1,15,116.9216309,Extreme left
1,15,116.9216309,Extreme left
1,15,116.921875,Extreme left
1,15,116.921875,Extreme left
1,15,116.9226074,Extreme left
1,15,116.9228516,Extreme left
1,15,116.9228516,Extreme left
1,15,116.9228516,Extreme left
1,15,116.9230957,Extreme left
1,15,116.9230957,Extreme left
1,15,116.9230957,Extreme left
1,15,116.9233398,Extreme left
1,15,116.923584,Extreme left
1,15,116.923584,Extreme left
1,15,116.9240723,Extreme left
1,15,116.9243164,Extreme left
1,15,116.9243164,Extreme left
1,15,116.9245605,Extreme left
1,15,116.9248047,Extreme left
1,15,116.9248047,Extreme left
1,15,116.9250488,Extreme left
1,15,116.9250488,Extreme left
1,15,116.9257813,Extreme left
1,15,116.9262695,Extreme left
1,15,116.9262695,Extreme left
1,15,116.9262695,Extreme left
1,15,116.9262695,Extreme left
1,15,116.9265137,Extreme left
